,Features,VI Lloyd,ARI Lloyd,NMI Lloyd,VI Power,ARI Power,NMI Power
0,2.0,0.279,0.865,0.905,0.192,0.929,0.937
1,10.0,0.25,0.843,0.9,0.127,0.928,0.956
2,50.0,0.338,0.784,0.868,0.239,0.865,0.917
3,100.0,0.356,0.772,0.829,0.212,0.881,0.926
4,200.0,0.306,0.804,0.869,0.2,0.888,0.93
5,500.0,0.385,0.755,0.787,0.259,0.854,0.91
6,800.0,0.369,0.764,0.857,0.259,0.854,0.91
7,1000.0,0.348,0.779,0.843,0.256,0.856,0.911
8,1500.0,0.396,0.746,0.815,0.258,0.854,0.91
9,1800.0,0.354,0.773,0.862,0.258,0.855,0.91
10,2000.0,0.345,0.78,0.844,0.215,0.879,0.925
11,5000.0,1.585,0.0,-2.25,1.236,0.215,-1.106
