,Features,VI Lloyd,ARI Lloyd,NMI Lloyd,VI Power,ARI Power,NMI Power
0,2.0,0.279,0.865,0.905,0.316,0.87,0.896
1,10.0,0.25,0.843,0.9,0.147,0.916,0.948
2,50.0,0.338,0.784,0.868,0.185,0.895,0.935
3,100.0,0.356,0.772,0.829,0.172,0.902,0.94
4,200.0,0.306,0.804,0.869,0.18,0.898,0.937
5,500.0,0.385,0.755,0.787,0.311,0.825,0.892
6,800.0,0.369,0.764,0.857,0.367,0.793,0.872
7,1000.0,0.348,0.779,0.843,0.379,0.787,0.868
8,1500.0,0.396,0.746,0.815,0.431,0.757,0.85
9,1800.0,0.354,0.773,0.862,0.443,0.75,0.846
10,2000.0,0.345,0.78,0.844,0.379,0.786,0.868
11,5000.0,1.585,0.0,-2.25,1.335,0.154,-1.431
