,Features,VI Lloyd,ARI Lloyd,NMI Lloyd,VI Power,ARI Power,NMI Power
0,2.0,0.279,0.865,0.905,0.246,0.903,0.919
1,10.0,0.25,0.843,0.9,0.142,0.92,0.95
2,50.0,0.338,0.784,0.868,0.214,0.879,0.925
3,100.0,0.356,0.772,0.829,0.23,0.87,0.92
4,200.0,0.306,0.804,0.869,0.259,0.854,0.91
5,500.0,0.385,0.755,0.787,0.403,0.773,0.86
6,800.0,0.369,0.764,0.857,0.415,0.766,0.855
7,1000.0,0.348,0.779,0.843,0.363,0.795,0.874
8,1500.0,0.396,0.746,0.815,0.379,0.786,0.868
9,1800.0,0.354,0.773,0.862,0.391,0.78,0.864
10,2000.0,0.345,0.78,0.844,0.319,0.82,0.889
11,5000.0,1.585,0.0,-2.25,1.486,0.061,-1.925
